gene_name,item_number,product_name
PHKG2,HZGHC000164c018,Human PHKG2 1bp insertion knockout cell line
PHKG2,HZGHC000164c021,Human PHKG2 1bp insertion knockout cell line
PKN1,HZGHC000165c001,Human PKN1 23bp deletion knockout cell line
PKN1,HZGHC000165c017,Human PKN1 32bp deletion knockout cell line
PRKAA1,HZGHC000167c004,Human PRKAA1 2bp deletion knockout cell line
PRKAA1,HZGHC000167c008,Human PRKAA1 1bp insertion knockout cell line
PRKAA1,HZGHC000167c010,Human PRKAA1 1bp insertion knockout cell line
PRKCD,HZGHC000168c004,Human PRKCD 4bp insertion knockout cell line
PRKCD,HZGHC000168c014,Human PRKCD 13bp deletion knockout cell line
PRKD2,HZGHC000169c007,Human PRKD2 78bp insertion knockout cell line
PRKD2,HZGHC000169c008,Human PRKD2 17bp deletion knockout cell line
PRKD2,HZGHC000169c023,Human PRKD2 11bp deletion knockout cell line
RPS6KA2,HZGHC000170c008,Human RPS6KA2 13bp deletion knockout cell line
RPS6KA2,HZGHC000170c014,Human RPS6KA2 2bp insertion knockout cell line
RPS6KC1,HZGHC000171c005,Human RPS6KC1 2bp deletion knockout cell line
RPS6KC1,HZGHC000171c011,Human RPS6KC1 13bp deletion knockout cell line
SCYL2,HZGHC000173c011,Human SCYL2 22bp deletion knockout cell line
SCYL2,HZGHC000173c013,Human SCYL2 19bp deletion knockout cell line
SCYL3,HZGHC000174c004,Human SCYL3 8bp deletion knockout cell line
SCYL3,HZGHC000174c005,Human SCYL3 22bp deletion knockout cell line
STRADA,HZGHC000176c010,Human STRADA 35bp deletion knockout cell line
STRADA,HZGHC000176c011,Human STRADA 1bp insertion knockout cell line
UHMK1,HZGHC000178c010,Human UHMK1 4bp deletion knockout cell line
UHMK1,HZGHC000178c016,Human UHMK1 2bp insertion knockout cell line
UHMK1,HZGHC000178c022,Human UHMK1 2bp deletion knockout cell line
PCDH1,HZGHC000179c008,Human PCDH1 16bp deletion knockout cell line
PCDH1,HZGHC000179c011,Human PCDH1 10bp deletion knockout cell line
PCDH1,HZGHC000179c013,Human PCDH1 5bp deletion knockout cell line
DDI2,HZGHC000182c006,Human DDI2 4bp deletion knockout cell line
DDI2,HZGHC000182c023,Human DDI2 1bp insertion knockout cell line
IGF1R,HZGHC000184c015,Human IGF1R 7bp deletion knockout cell line
DYRK3,HZGHC000185c006,Human DYRK3 10bp deletion knockout cell line
VRK3,HZGHC000189c011,Human VRK3 1bp insertion knockout cell line
DMPK,HZGHC000194c007,Human DMPK 28bp deletion knockout cell line
ACVR1,HZGHC000195c001,Human ACVR1 2bp insertion knockout cell line
BCKDK,HZGHC000197c006,Human BCKDK 10bp deletion knockout cell line
TLK1,HZGHC000200c007,Human TLK1 26bp deletion knockout cell line
FGFR2,HZGHC000203c010,Human FGFR2 13bp deletion knockout cell line
IRAK4,HZGHC000204c007,Human IRAK4 1bp deletion knockout cell line
AKT2,HZGHC000206c006,Human AKT2 13bp deletion knockout cell line
MAPKAPK3,HZGHC000208c012,Human MAPKAPK3 5bp deletion knockout cell line
CDS1,HZGHC000209c022,Human CDS1 23bp deletion knockout cell line
ERBB3,HZGHC000211c030,Human ERBB3 4bp deletion knockout cell line
RAF1,HZGHC000214c011,Human RAF1 1bp insertion knockout cell line
RPS6KA1,HZGHC000215c018,Human RPS6KA1 16bp deletion knockout cell line
EPHA2,HZGHC000222c011,Human EPHA2 16bp deletion knockout cell line
EPHA4,HZGHC000223c007,Human EPHA4 7bp deletion knockout cell line
MAP3K6,HZGHC000225c011,Human MAP3K6 2bp deletion knockout cell line
DCLK1,HZGHC000226c012,Human DCLK1 1bp insertion knockout cell line
MAP3K8,HZGHC000228c002,Human MAP3K8 10bp deletion knockout cell line
SGK1,HZGHC000231c006,Human SGK1 29bp deletion knockout cell line
SGK1,HZGHC000231c007,Human SGK1 2bp deletion knockout cell line
STK10,HZGHC000233c008,Human STK10 2bp deletion knockout cell line
CDC42BPB,HZGHC000234c002,Human CDC42BPB 4bp deletion knockout cell line
CDK16,HZGHC000235c010,Human CDK16 10bp deletion knockout cell line
PRKCQ,HZGHC000237c003,Human PRKCQ 4bp deletion knockout cell line
PSKH1,HZGHC000240c009,Human PSKH1 41bp deletion knockout cell line
STK38,HZGHC000242c035,Human STK38 1bp insertion knockout cell line
ABL1,HZGHC000243c016,Human ABL1 7bp deletion knockout cell line
BRD3,HZGHC000244c004,Human BRD3 22bp deletion knockout cell line
NUAK1,HZGHC000247c012,Human NUAK1 1bp deletion knockout cell line
AAK1,HZGHC000248c027,Human AAK1 4bp deletion knockout cell line
STK38L,HZGHC000249c001,Human STK38L 37bp deletion knockout cell line
EPHB2,HZGHC000251c032,Human EPHB2 25bp deletion knockout cell line
ADCK3,HZGHC000253c001,Human ADCK3 1000bp deletion knockout cell line
ACVR1B,HZGHC000254c009,Human ACVR1B 5bp deletion knockout cell line
PEAK1,HZGHC000260c007,Human PEAK1 49bp deletion knockout cell line
TRIM33,HZGHC000266c011,Human TRIM33 13bp deletion knockout cell line
TBCK,HZGHC000267c023,Human TBCK 11bp deletion knockout cell line
CDK10,HZGHC000270c005,Human CDK10 11bp deletion knockout cell line
CSNK1D,HZGHC000274c010,Human CSNK1D 26bp deletion knockout cell line
PTK7,HZGHC000276c009,Human PTK7 7bp deletion knockout cell line
PTK7,HZGHC000276c022,Human PTK7 2bp deletion knockout cell line
MINK1,HZGHC000277c036,Human MINK1 22bp deletion knockout cell line
CAMK2G,HZGHC000278c001,Human CAMK2G 4bp deletion knockout cell line
CAMKK2,HZGHC000279c003,Human CAMKK2 10bp deletion knockout cell line
SRPK2,HZGHC000280c020,Human SRPK2 4bp deletion knockout cell line
ALG6,HZGHC000282c005,Human ALG6 13bp deletion knockout cell line
ALG6,HZGHC000282c012,Human ALG6 8bp deletion knockout cell line
SCYL1,HZGHC000286c003,Human SCYL1 5bp deletion knockout cell line
SCYL1,HZGHC000286c005,Human SCYL1 1bp insertion knockout cell line
PBK,HZGHC000289c003,Human PBK 25bp deletion knockout cell line
PBK,HZGHC000289c017,Human PBK 4bp deletion knockout cell line
PBK,HZGHC000289c023,Human PBK 8bp deletion knockout cell line
TRIM28,HZGHC000293c001,Human TRIM28 4bp deletion knockout cell line
TRIM28,HZGHC000293c003,Human TRIM28 7bp deletion knockout cell line
TESK1,HZGHC000294c008,Human TESK1 8bp deletion knockout cell line
TESK1,HZGHC000294c013,Human TESK1 5bp deletion knockout cell line
ATG16L1,HZGHC000296c010,Human ATG16L1 10bp deletion knockout cell line
ATG16L1,HZGHC000296c011,Human ATG16L1 14bp deletion knockout cell line
ATG9A,HZGHC000297c014,Human ATG9A 1bp insertion knockout cell line
ATG9A,HZGHC000297c017,Human ATG9A 2bp insertion knockout cell line
ATG9A,HZGHC000297c020,Human ATG9A 34bp deletion knockout cell line
SQSTM1,HZGHC000298c002,Human SQSTM1 7bp deletion knockout cell line
SQSTM1,HZGHC000298c015,Human SQSTM1 4bp deletion knockout cell line
ZFYVE1,HZGHC000301c013,Human ZFYVE1 14bp deletion knockout cell line
ZFYVE1,HZGHC000301c021,Human ZFYVE1 2bp deletion knockout cell line
ZFYVE1,HZGHC000301c023,Human ZFYVE1 8bp deletion knockout cell line
ATG7,HZGHC000302c003,Human ATG7 8bp deletion knockout cell line
ATG7,HZGHC000302c022,Human ATG7 2bp deletion knockout cell line
ATG7,HZGHC000302c023,Human ATG7 7bp deletion knockout cell line
ATG12,HZGHC000303c004,Human ATG12 2bp deletion knockout cell line
ATG12,HZGHC000303c008,Human ATG12 10bp deletion knockout cell line
ATG13,HZGHC000304c001,Human ATG13 1bp insertion knockout cell line
